filename, language, Markdown, JSON, JavaScript, CSS, XML, HTML, comment, blank, total
c:\Users\jajohnson\gc3_emulator\README.md, Markdown, 1, 0, 0, 0, 0, 0, 0, 0, 1
c:\Users\jajohnson\gc3_emulator\package-lock.json, JSON, 0, 14286, 0, 0, 0, 0, 0, 1, 14287
c:\Users\jajohnson\gc3_emulator\package.json, JSON, 0, 38, 0, 0, 0, 0, 0, 1, 39
c:\Users\jajohnson\gc3_emulator\public\index.html, HTML, 0, 0, 0, 0, 0, 19, 0, 5, 24
c:\Users\jajohnson\gc3_emulator\public\manifest.json, JSON, 0, 8, 0, 0, 0, 0, 0, 1, 9
c:\Users\jajohnson\gc3_emulator\src\.VSCodeCounter\details.md, Markdown, 115, 0, 0, 0, 0, 0, 0, 6, 121
c:\Users\jajohnson\gc3_emulator\src\.VSCodeCounter\results.md, Markdown, 18, 0, 0, 0, 0, 0, 0, 7, 25
c:\Users\jajohnson\gc3_emulator\src\App.js, JavaScript, 0, 0, 189, 0, 0, 0, 27, 40, 256
c:\Users\jajohnson\gc3_emulator\src\DinoApp.js, JavaScript, 0, 0, 341, 0, 0, 0, 4, 81, 426
c:\Users\jajohnson\gc3_emulator\src\Footer.js, JavaScript, 0, 0, 13, 0, 0, 0, 0, 2, 15
c:\Users\jajohnson\gc3_emulator\src\Header.js, JavaScript, 0, 0, 13, 0, 0, 0, 0, 3, 16
c:\Users\jajohnson\gc3_emulator\src\Panel.js, JavaScript, 0, 0, 176, 0, 0, 0, 3, 9, 188
c:\Users\jajohnson\gc3_emulator\src\Redux.js, JavaScript, 0, 0, 851, 0, 0, 0, 11, 48, 910
c:\Users\jajohnson\gc3_emulator\src\Screen.css, CSS, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\SideBar.js, JavaScript, 0, 0, 666, 0, 0, 0, 2, 197, 865
c:\Users\jajohnson\gc3_emulator\src\Weather.css, CSS, 0, 0, 0, 35, 0, 0, 0, 2, 37
c:\Users\jajohnson\gc3_emulator\src\Weather.js, JavaScript, 0, 0, 88, 0, 0, 0, 0, 9, 97
c:\Users\jajohnson\gc3_emulator\src\images\chat-icon.svg, XML, 0, 0, 0, 0, 1, 0, 0, 0, 1
c:\Users\jajohnson\gc3_emulator\src\images\emergency-fire.svg, XML, 0, 0, 0, 0, 3, 0, 0, 1, 4
c:\Users\jajohnson\gc3_emulator\src\index.css, CSS, 0, 0, 0, 1276, 0, 0, 16, 4, 1296
c:\Users\jajohnson\gc3_emulator\src\index.js, JavaScript, 0, 0, 8, 0, 0, 0, 0, 3, 11
c:\Users\jajohnson\gc3_emulator\src\info.js, JavaScript, 0, 0, 308, 0, 0, 0, 0, 78, 386
c:\Users\jajohnson\gc3_emulator\src\screen\Alarm.js, JavaScript, 0, 0, 207, 0, 0, 0, 0, 38, 245
c:\Users\jajohnson\gc3_emulator\src\screen\ArmingAway.js, JavaScript, 0, 0, 278, 0, 0, 0, 0, 50, 328
c:\Users\jajohnson\gc3_emulator\src\screen\ArmingAwaySilent.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\ArmingStay.js, JavaScript, 0, 0, 277, 0, 0, 0, 0, 50, 327
c:\Users\jajohnson\gc3_emulator\src\screen\ArmingStaySilent.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\BypassSensors.js, JavaScript, 0, 0, 51, 0, 0, 0, 0, 16, 67
c:\Users\jajohnson\gc3_emulator\src\screen\CellRadioSwap.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\CellRadioSwapNotDetected.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\DateTime.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\DemoMode.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\DinoGame.js, JavaScript, 0, 0, 12, 0, 0, 0, 0, 2, 14
c:\Users\jajohnson\gc3_emulator\src\screen\Emergency.js, JavaScript, 0, 0, 39, 0, 0, 0, 0, 10, 49
c:\Users\jajohnson\gc3_emulator\src\screen\FirmwareUpdate.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\HackPage.js, JavaScript, 0, 0, 25, 0, 0, 0, 0, 5, 30
c:\Users\jajohnson\gc3_emulator\src\screen\Home.js, JavaScript, 0, 0, 649, 0, 0, 0, 5, 179, 833
c:\Users\jajohnson\gc3_emulator\src\screen\InstallerCode.js, JavaScript, 0, 0, 157, 0, 0, 0, 0, 38, 195
c:\Users\jajohnson\gc3_emulator\src\screen\InstallerMenu.js, JavaScript, 0, 0, 179, 0, 0, 0, 0, 39, 218
c:\Users\jajohnson\gc3_emulator\src\screen\LanguageSettings.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\NetworkSettings.js, JavaScript, 0, 0, 128, 0, 0, 0, 0, 30, 158
