Date : 2020-01-18 21:00:09
Directory : c:\Users\jajohnson\gc3_emulator
Total : 116 files,  34855 codes, 164 comments, 2259 blanks, all 37278 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        104 |     19,055 |        148 |      2,230 |     21,433 |
| JSON       |          3 |     14,332 |          0 |          3 |     14,335 |
| CSS        |          3 |      1,311 |         16 |          7 |      1,334 |
| Markdown   |          3 |        134 |          0 |         13 |        147 |
| HTML       |          1 |         19 |          0 |          5 |         24 |
| XML        |          2 |          4 |          0 |          1 |          5 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        116 |     34,855 |        164 |      2,259 |     37,278 |
| public                                                                                         |          2 |         27 |          0 |          6 |         33 |
| src                                                                                            |        111 |     20,503 |        164 |      2,251 |     22,918 |
| src\.VSCodeCounter                                                                             |          2 |        133 |          0 |         13 |        146 |
| src\images                                                                                     |          2 |          4 |          0 |          1 |          5 |
| src\screen                                                                                     |         94 |     16,402 |        101 |      1,760 |     18,263 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                       | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\jajohnson\gc3_emulator\README.md                                                      | Markdown   |          1 |          0 |          0 |          1 |
| c:\Users\jajohnson\gc3_emulator\package-lock.json                                              | JSON       |     14,286 |          0 |          1 |     14,287 |
| c:\Users\jajohnson\gc3_emulator\package.json                                                   | JSON       |         38 |          0 |          1 |         39 |
| c:\Users\jajohnson\gc3_emulator\public\index.html                                              | HTML       |         19 |          0 |          5 |         24 |
| c:\Users\jajohnson\gc3_emulator\public\manifest.json                                           | JSON       |          8 |          0 |          1 |          9 |
| c:\Users\jajohnson\gc3_emulator\src\.VSCodeCounter\details.md                                  | Markdown   |        115 |          0 |          6 |        121 |
| c:\Users\jajohnson\gc3_emulator\src\.VSCodeCounter\results.md                                  | Markdown   |         18 |          0 |          7 |         25 |
| c:\Users\jajohnson\gc3_emulator\src\App.js                                                     | JavaScript |        189 |         27 |         40 |        256 |
| c:\Users\jajohnson\gc3_emulator\src\DinoApp.js                                                 | JavaScript |        341 |          4 |         81 |        426 |
| c:\Users\jajohnson\gc3_emulator\src\Footer.js                                                  | JavaScript |         13 |          0 |          2 |         15 |
| c:\Users\jajohnson\gc3_emulator\src\Header.js                                                  | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\jajohnson\gc3_emulator\src\Panel.js                                                   | JavaScript |        176 |          3 |          9 |        188 |
| c:\Users\jajohnson\gc3_emulator\src\Redux.js                                                   | JavaScript |        851 |         11 |         48 |        910 |
| c:\Users\jajohnson\gc3_emulator\src\Screen.css                                                 | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\SideBar.js                                                 | JavaScript |        666 |          2 |        197 |        865 |
| c:\Users\jajohnson\gc3_emulator\src\Weather.css                                                | CSS        |         35 |          0 |          2 |         37 |
| c:\Users\jajohnson\gc3_emulator\src\Weather.js                                                 | JavaScript |         88 |          0 |          9 |         97 |
| c:\Users\jajohnson\gc3_emulator\src\images\chat-icon.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\images\emergency-fire.svg                                  | XML        |          3 |          0 |          1 |          4 |
